"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","5400","E","","","0"
"2017","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","7400","D","","","0"
"2018","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","7400","E","","","0"
"2019","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","8400","D","","","0"
"2020","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","14200","C","","","0"
"2021","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","11500","C","","","0"
"2022","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","5300","C","","","0"
"2023","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","4200","C","","","0"
"2009","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","65200","A","","","0"
"2010","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","65600","A","","","0"
"2011","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","65900","A","","","0"
"2012","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","67400","A","","","0"
"2013","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","67800","A","","","0"
"2014","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","68000","A","","","0"
"2015","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","68600","A","","","0"
"2016","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","68400","A","","","0"
"2017","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","70100","A","","","0"
"2018","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","70200","A","","","0"
"2019","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","72500","A","","","0"
"2020","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","77400","A","","","0"
"2021","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","78500","A","","","0"
"2022","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","77500","A","","","0"
"2023","Quebec","2021A000224","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413371","7.8.1","76800","A","","","0"
"2009","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","91200","A","","","0"
"2010","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","89800","A","","","0"
"2011","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","91000","A","","","0"
"2012","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","95700","A","","","0"
"2013","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","96400","A","","","0"
"2014","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","97400","A","","","0"
"2015","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","99200","A","","","0"
"2016","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","99500","A","","","0"
"2017","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","101700","A","","","0"
"2018","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","103900","A","","","0"
"2019","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","106900","A","","","0"
"2020","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","114000","A","","","0"
"2021","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","116600","A","","","0"
"2022","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","112900","A","","","0"
"2023","Quebec","2021A000224","Median total income","Economic families","2023 constant dollars","449","units","0","v96413372","7.8.2","112700","A","","","0"
"2009","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","33100","C","","","0"
"2010","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","34700","C","","","0"
"2011","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","35300","C","","","0"
"2012","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","37100","B","","","0"
"2013","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","35800","B","","","0"
