"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","38500","C","","","0"
"2017","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","40800","B","","","0"
"2018","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","40700","B","","","0"
"2019","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","42700","B","","","0"
"2020","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","43700","B","","","0"
"2021","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","46000","B","","","0"
"2022","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","43300","A","","","0"
"2023","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","44400","A","","","0"
"2009","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","8100","B","","","0"
"2010","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","7900","B","","","0"
"2011","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","7700","B","","","0"
"2012","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","7700","B","","","0"
"2013","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","8000","B","","","0"
"2014","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","8400","B","","","0"
"2015","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","8100","B","","","0"
"2016","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","7800","B","","","0"
"2017","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","8600","B","","","0"
"2018","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","9100","B","","","0"
"2019","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","8800","B","","","0"
"2020","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","9400","B","","","0"
"2021","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","10500","A","","","0"
"2022","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","9700","A","","","0"
"2023","Ontario","2021A000235","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413651","8.10.1","10000","A","","","0"
"2009","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","11200","B","","","0"
"2010","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","11400","B","","","0"
"2011","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","12000","B","","","0"
"2012","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","12300","B","","","0"
"2013","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","12100","B","","","0"
"2014","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","12700","B","","","0"
"2015","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","13200","B","","","0"
"2016","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","12400","B","","","0"
"2017","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","13600","B","","","0"
"2018","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","14300","B","","","0"
"2019","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","13800","B","","","0"
"2020","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","15000","A","","","0"
"2021","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","15800","A","","","0"
"2022","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","16000","A","","","0"
"2023","Ontario","2021A000235","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413652","8.10.2","15800","A","","","0"
"2009","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","3400","D","","","0"
"2010","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","3000","E","","","0"
"2011","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","2500","E","","","0"
"2012","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","2400","D","","","0"
"2013","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","3500","D","","","0"
"2014","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","3400","D","","","0"
"2015","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","2400","D","","","0"
"2016","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","2700","D","","","0"
"2017","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","3000","D","","","0"
